iter	MAE
1001	0.3188425483
1002	0.3188275257
1003	0.3187840334
1004	0.318772865
1005	0.3187459732
1006	0.3187272522
1007	0.318713549
1008	0.3187025722
1009	0.3186894354
1010	0.3186445016
1011	0.3186151274
1012	0.3185842949
1013	0.3185719882
1014	0.3185441246
1015	0.3184984215
1016	0.3184698524
1017	0.3184310555
1018	0.3184073506
1019	0.318384664
1020	0.3183609995
1021	0.3183399011
1022	0.3183178553
1023	0.3182859842
1024	0.3182512709
1025	0.3182230722
1026	0.3182025929
1027	0.3181787951
1028	0.3181337882
1029	0.3181101256
1030	0.3180759278
1031	0.3180580325
1032	0.3180298446
1033	0.3180009563
1034	0.3179755885
1035	0.3179494785
1036	0.3179257032
1037	0.31790257
1038	0.3178797531
1039	0.3178494858
1040	0.3178263056
1041	0.3177956124
1042	0.3177834194
1043	0.3177624871
1044	0.3177347705
1045	0.3177154109
1046	0.3176864049
1047	0.3176646181
1048	0.3176537093
1049	0.3176298433
1050	0.3175981295
1051	0.3175752184
1052	0.3175640802
1053	0.3175352545
1054	0.3175140718
1055	0.3174913632
1056	0.3174741329
1057	0.3174548006
1058	0.3174420402
1059	0.3174086297
1060	0.3173883857
1061	0.3173784092
1062	0.3173451035
1063	0.3173191506
1064	0.3173010719
1065	0.317281821
1066	0.3172630099
1067	0.3172375126
1068	0.3172265558
1069	0.3171941441
1070	0.317157437
1071	0.3171182513
1072	0.317076725
1073	0.3170452057
1074	0.317017453
1075	0.3169788787
1076	0.3169582472
1077	0.3169293136
1078	0.3168897232
1079	0.3168555429
1080	0.3168348335
1081	0.3168199242
1082	0.3168018735
1083	0.3167395965
1084	0.3167101995
1085	0.3166845657
1086	0.3166580088
1087	0.3166345142
1088	0.3166177869
1089	0.3165905303
1090	0.3165742795
1091	0.3165519019
1092	0.3165369334
1093	0.3164881588
1094	0.3164763538
1095	0.3164462337
1096	0.3164143304
1097	0.3163763062
1098	0.3163598814
1099	0.3163540941
1100	0.3163373558
1101	0.3162977545
1102	0.3162702675
1103	0.3162490301
1104	0.3162336642
1105	0.3162127578
1106	0.3161955425
1107	0.3161681553
1108	0.3161600025
1109	0.3161438906
1110	0.3161259616
1111	0.3161180993
1112	0.3161025939
1113	0.3160804813
1114	0.3160630011
1115	0.3160494378
1116	0.3160371183
1117	0.3159929458
1118	0.3159670035
1119	0.3159262935
1120	0.3159061396
1121	0.3158816981
1122	0.3158715403
1123	0.3158529569
1124	0.3158169253
1125	0.3157894648
1126	0.3157744039
1127	0.3157428612
1128	0.3157166363
1129	0.3156933611
1130	0.3156716563
1131	0.3156529479
1132	0.3156342538
1133	0.3156020598
1134	0.3155805508
1135	0.3155485403
1136	0.315535688
1137	0.3155218244
1138	0.315499532
1139	0.3154721108
1140	0.3154572374
1141	0.3154143392
1142	0.3153902728
1143	0.3153684371
1144	0.3153309675
1145	0.3153104487
1146	0.3152934654
1147	0.3152655754
1148	0.3152569086
1149	0.3152369559
1150	0.3152004441
1151	0.3151781298
1152	0.3151486302
1153	0.3151347325
1154	0.3151179969
1155	0.3151089005
1156	0.3150774537
1157	0.3150665173
1158	0.3150363324
1159	0.315006333
1160	0.3149875522
1161	0.3149610844
1162	0.3149184386
1163	0.3149013875
1164	0.3148850094
1165	0.3148459688
1166	0.3148199527
1167	0.3147972189
1168	0.3147872159
1169	0.3147615911
1170	0.3147491374
1171	0.3147281641
1172	0.3146873679
1173	0.3146723014
1174	0.31465823
1175	0.3146294915
1176	0.3146197041
1177	0.3145692934
1178	0.314541366
1179	0.3145296073
1180	0.3145170722
1181	0.3145055099
1182	0.3144819029
1183	0.3144679614
1184	0.3144448929
1185	0.3144394346
1186	0.3144250886
1187	0.3144039858
1188	0.3143524601
1189	0.3143124173
1190	0.3142891633
1191	0.3142642764
1192	0.3142176138
1193	0.3142012789
1194	0.3141925053
1195	0.3141744353
1196	0.3141524371
1197	0.3141141847
1198	0.3140970739
1199	0.3140645758
1200	0.3140478782
1201	0.3140161988
1202	0.3140082414
1203	0.3139898316
1204	0.3139746786
1205	0.3139588542
1206	0.3139384567
1207	0.3139318919
1208	0.3139198473
1209	0.3138779991
1210	0.3138543234
1211	0.3138418801
1212	0.3138343799
1213	0.3138153111
1214	0.3137998334
1215	0.3137711254
1216	0.3137446948
1217	0.3137290694
1218	0.3136975478
1219	0.3136753827
1220	0.313654224
1221	0.3136387747
1222	0.3136198404
1223	0.3136018047
1224	0.3135899557
1225	0.3135765268
1226	0.3135676702
1227	0.3135512004
1228	0.313535084
1229	0.3135258629
1230	0.3135033817
1231	0.3134887033
1232	0.3134732424
1233	0.3134408923
1234	0.3134085494
1235	0.3133784152
1236	0.3133573041
1237	0.3133336002
1238	0.3132836525
1239	0.313236885
1240	0.3132112288
1241	0.3131990385
1242	0.3131865121
1243	0.3131616204
1244	0.3131506217
1245	0.3131416859
1246	0.313124571
1247	0.3130757235
1248	0.3130569171
1249	0.3130235749
1250	0.312989875
1251	0.3129782741
1252	0.3129527678
1253	0.3129352
1254	0.3129245683
1255	0.3129000785
1256	0.3128730281
1257	0.3128546359
1258	0.3128279559
1259	0.3128190247
1260	0.3127985157
1261	0.3127575795
1262	0.3127164433
1263	0.3126918752
1264	0.3126679958
1265	0.312651211
1266	0.312631819
1267	0.3126073861
1268	0.3125772065
1269	0.3125404573
1270	0.3125282162
1271	0.3125075959
1272	0.3124882245
1273	0.3124711251
1274	0.3124486172
1275	0.3124328503
1276	0.3124129258
1277	0.312388338
1278	0.3123789476
1279	0.3123662269
1280	0.3123323452
1281	0.3123103756
1282	0.3122946925
1283	0.3122856278
1284	0.3122684918
1285	0.3122435197
1286	0.3122293724
1287	0.3122088312
1288	0.3121830455
1289	0.3121660693
1290	0.3121533002
1291	0.3121397123
1292	0.3121166621
1293	0.3120950851
1294	0.3120751482
1295	0.3120494039
1296	0.3120283084
1297	0.312000801
1298	0.3119591738
1299	0.3119371521
1300	0.3119215454
1301	0.3118905201
1302	0.311873699
1303	0.3118494498
1304	0.3118178904
1305	0.3117760131
1306	0.3117434171
1307	0.3117183214
1308	0.3117132929
1309	0.311681512
1310	0.3116520247
1311	0.3116365723
1312	0.31160276
1313	0.3115951005
1314	0.3115576822
1315	0.3115298212
1316	0.3115155932
1317	0.3114910015
1318	0.3114800412
1319	0.311448737
1320	0.3114305371
1321	0.3114106596
1322	0.3113811516
1323	0.3113628248
1324	0.311352092
1325	0.311328686
1326	0.3113165273
1327	0.3112810211
1328	0.3112557189
1329	0.3112380498
1330	0.3112196822
1331	0.3111986818
1332	0.3111903461
1333	0.3111739873
1334	0.3111488206
1335	0.3111361725
1336	0.3111066249
1337	0.3110964693
1338	0.311083739
1339	0.3110709533
1340	0.3110590915
1341	0.3110488534
1342	0.3110218854
1343	0.3110024615
1344	0.3109873464
1345	0.3109736993
1346	0.3109532844
1347	0.3109428117
1348	0.3109386008
1349	0.3109265315
1350	0.3109083249
1351	0.310888865
1352	0.310863692
1353	0.3108478881
1354	0.3108283891
1355	0.3107958566
1356	0.3107771244
1357	0.3107503923
1358	0.3107346756
1359	0.3107144291
1360	0.3106941233
